Algoritmo,TipoEntrada,TamanhoN,Comparacoes,Atribuicoes,TempoSeg
BubbleSort,ordenado,10,9,0,0.00001029
InsertionSort,ordenado,10,9,18,0.00000843
SelectionSort,ordenado,10,45,0,0.00001443
QuickSort,ordenado,10,21,69,0.00005686
MergeSort,ordenado,10,15,34,0.00005085
HeapSort,ordenado,10,41,118,0.00007247
BubbleSort,invertido,10,45,135,0.00002731
InsertionSort,invertido,10,45,63,0.00002119
SelectionSort,invertido,10,45,15,0.00001576
QuickSort,invertido,10,22,81,0.00004359
MergeSort,invertido,10,19,34,0.00006111
HeapSort,invertido,10,35,78,0.00003141
BubbleSort,aleatorio,10,42,39,0.00001814
InsertionSort,aleatorio,10,21,31,0.00001200
SelectionSort,aleatorio,10,45,21,0.00001591
QuickSort,aleatorio,10,21,69,0.00006341
MergeSort,aleatorio,10,21,34,0.00004562
HeapSort,aleatorio,10,40,113,0.00003749
BubbleSort,quase_ordenado,10,24,9,0.00001016
InsertionSort,quase_ordenado,10,12,21,0.00000815
SelectionSort,quase_ordenado,10,45,3,0.00001397
QuickSort,quase_ordenado,10,29,57,0.00004162
MergeSort,quase_ordenado,10,16,34,0.00004096
HeapSort,quase_ordenado,10,40,113,0.00003546
BubbleSort,ordenado,1000,999,0,0.00029681
InsertionSort,ordenado,1000,999,1998,0.00065093
SelectionSort,ordenado,1000,499500,0,0.12836623
QuickSort,ordenado,1000,10391,17181,0.01282442
MergeSort,ordenado,1000,4932,9976,0.00912467
HeapSort,ordenado,1000,17583,42087,0.03106969
BubbleSort,invertido,1000,499500,1498500,0.74728977
InsertionSort,invertido,1000,499500,501498,0.26164322
SelectionSort,invertido,1000,499500,1500,0.25637313
QuickSort,invertido,1000,12015,17355,0.00706082
MergeSort,invertido,1000,5044,9976,0.00727700
HeapSort,invertido,1000,15965,35288,0.01123813
BubbleSort,aleatorio,1000,499094,756801,0.28873195
InsertionSort,aleatorio,1000,253255,254265,0.12703131
SelectionSort,aleatorio,1000,499500,2979,0.15315851
QuickSort,aleatorio,1000,10558,18792,0.00692054
MergeSort,aleatorio,1000,8681,9976,0.00983827
HeapSort,aleatorio,1000,16812,38839,0.02612771
BubbleSort,quase_ordenado,1000,495584,25596,0.29026326
InsertionSort,quase_ordenado,1000,9531,10530,0.00503267
SelectionSort,quase_ordenado,1000,499500,30,0.12715407
QuickSort,quase_ordenado,1000,11066,21090,0.00730443
MergeSort,quase_ordenado,1000,6745,9976,0.00720110
HeapSort,quase_ordenado,1000,17568,41966,0.01285284
BubbleSort,ordenado,10000,9999,0,0.00334106
InsertionSort,ordenado,10000,9999,19998,0.00695640
SelectionSort,ordenado,10000,49995000,0,13.04798229
QuickSort,ordenado,10000,157346,254007,0.08907360
MergeSort,ordenado,10000,64608,133616,0.08833275
HeapSort,ordenado,10000,244460,576452,0.18740463
BubbleSort,invertido,10000,49995000,149985000,26.18753381
InsertionSort,invertido,10000,49995000,50014998,11.23107918
SelectionSort,invertido,10000,49995000,15000,5.82083029
QuickSort,invertido,10000,157122,280812,0.04143615
MergeSort,invertido,10000,69008,133616,0.03771311
HeapSort,invertido,10000,226682,503707,0.07281727
BubbleSort,aleatorio,10000,49992444,75203742,11.53215313
InsertionSort,aleatorio,10000,25077903,25087912,6.07215519
SelectionSort,aleatorio,10000,49995000,29976,5.86636128
QuickSort,aleatorio,10000,152749,273576,0.04133260
MergeSort,aleatorio,10000,120410,133616,0.04620111
HeapSort,aleatorio,10000,235392,538665,0.08291098
BubbleSort,quase_ordenado,10000,49775547,2142552,7.13359526
InsertionSort,quase_ordenado,10000,724183,734182,0.16712320
SelectionSort,quase_ordenado,10000,49995000,300,5.73807639
QuickSort,quase_ordenado,10000,169391,318843,0.04456818
MergeSort,quase_ordenado,10000,95630,133616,0.04238684
HeapSort,quase_ordenado,10000,244277,574257,0.08301022
